gene, correlational coefficient, p value, size
p0383,0.43783498564331463,0.001,78
p0379,0.3152464933621748,0.003,78
p0391,0.3437666218282549,0.001,78
p0389,0.4198389887270622,0.001,78
p0385,0.5571247106363345,0.001,78
p0390,0.46141831672741074,0.001,78
p0394,0.24585309614027326,0.001,78
p0380,0.48686001238287824,0.001,78
p0393,0.48497406220247535,0.001,78
p0395,0.40090511126777756,0.001,78
p0392,0.5552583561653948,0.001,78
p0399,0.5818493063552748,0.001,78
p0398,0.43509212492211974,0.001,78
p0396,0.4932309324277743,0.001,78
p0397,0.5184469342772742,0.001,78
