gene, test statistic, p-value, number of groups
p0017-p0114-p0188-p0261-p0090,1.7036377570720524,0.141,2
p0324-p0011-p0323-p0398-p0070,1.5263961093280518,0.149,2
p0375-p0071-p0073-p0365-p0207,1.615150293481812,0.146,2
p0310-p0035-p0095-p0122-p0173,1.4404572205076736,0.124,2
p0368-p0344-p0152-p0179-p0342,1.8573218590346547,0.131,2
p0052-p0301-p0160-p0035-p0129,0.5088666842724959,0.842,2
p0263-p0174-p0358-p0090-p0367,1.5948747972104156,0.177,2
p0176-p0186-p0143-p0023-p0355,1.6061927373031701,0.165,2
p0323-p0228-p0316-p0322-p0088,1.9398270709379768,0.08,2
p0004-p0254-p0183-p0015-p0126,1.264570190741073,0.328,2
p0173-p0255-p0085-p0138-p0298,2.557804174972191,0.022,2
p0195-p0055-p0076-p0263-p0325,1.8791505172986387,0.066,2
p0183-p0224-p0091-p0360-p0371,0.7323986512798902,0.666,2
p0377-p0283-p0234-p0021-p0044,2.0968224681283165,0.041,2
p0195-p0268-p0384-p0069-p0213,0.9912567719610915,0.531,2
p0010-p0209-p0272-p0372-p0229,0.845903225668109,0.606,2
p0365-p0114-p0142-p0392-p0018,1.7245771101062668,0.089,2
p0105-p0214-p0137-p0145-p0272,1.2464370235170992,0.307,2
p0288-p0208-p0035-p0126-p0390,2.493792105126198,0.019,2
p0299-p0231-p0044-p0253-p0085,1.5375738141776158,0.22,2
p0367-p0068-p0308-p0274-p0214,0.5537769150214924,0.692,2
p0028-p0174-p0379-p0002-p0266,0.6072041359660408,0.756,2
p0203-p0253-p0247-p0156-p0372,1.2974419359772262,0.398,2
p0124-p0098-p0027-p0314-p0234,1.5190146163076599,0.149,2
p0260-p0352-p0107-p0325-p0143,2.0757776806455035,0.084,2
p0126-p0364-p0025-p0108-p0232,1.8289385070095667,0.043,2
p0134-p0083-p0023-p0346-p0116,2.1556466285317817,0.024,2
p0166-p0322-p0315-p0115-p0387,2.142768833897599,0.047,2
p0241-p0352-p0239-p0291-p0017,1.5435811359347307,0.223,2
p0332-p0126-p0231-p0279-p0044,0.8199403637628817,0.601,2
p0087-p0108-p0117-p0183-p0362,1.4400144760330837,0.269,2
p0392-p0002-p0224-p0050-p0120,1.5782703687378377,0.18,2
p0120-p0017-p0208-p0255-p0263,3.157785192788885,0.006,2
p0193-p0127-p0263-p0304-p0005,1.7635698026244893,0.06,2
p0067-p0391-p0248-p0092-p0247,1.543947205429398,0.138,2
p0198-p0339-p0255-p0207-p0161,2.461421739187887,0.032,2
p0216-p0102-p0312-p0162-p0252,2.6184860153122838,0.087,2
p0175-p0303-p0312-p0391-p0112,2.823287132059686,0.06,2
p0090-p0260-p0328-p0263-p0157,0.7861312810507837,0.669,2
p0084-p0355-p0190-p0334-p0189,1.0520628330378778,0.484,2
p0007-p0159-p0097-p0150-p0325,1.840766153629251,0.073,2
p0318-p0394-p0057-p0211-p0221,2.168076205963948,0.121,2
p0153-p0154-p0166-p0226-p0126,0.9760154294406472,0.537,2
p0326-p0313-p0014-p0070-p0097,2.297442443629197,0.036,2
p0186-p0118-p0290-p0209-p0248,1.6589155274532834,0.176,2
p0241-p0332-p0051-p0194-p0201,1.280631584522616,0.297,2
p0180-p0316-p0255-p0023-p0114,2.6105500728690285,0.01,2
p0037-p0224-p0068-p0202-p0025,0.8605647273849164,0.669,2
p0036-p0043-p0318-p0109-p0270,1.4824229107659865,0.203,2
p0160-p0105-p0037-p0083-p0222,1.1928570446976179,0.365,2
p0270-p0134-p0357-p0288-p0319,1.2056720922058064,0.36,2
p0120-p0397-p0202-p0140-p0024,2.3157979268686626,0.025,2
p0196-p0082-p0092-p0135-p0019,1.4765836160666719,0.143,2
p0293-p0382-p0130-p0001-p0243,0.6347109187209751,0.731,2
p0121-p0279-p0120-p0258-p0108,2.0257776811512547,0.068,2
p0387-p0048-p0368-p0005-p0317,1.4767868475225072,0.213,2
p0002-p0397-p0036-p0015-p0263,1.8047172422378153,0.056,2
p0388-p0009-p0019-p0257-p0235,0.8160843596054652,0.669,2
p0278-p0249-p0007-p0162-p0248,1.8666370960361633,0.14,2
p0248-p0395-p0372-p0080-p0131,0.031373696664378156,0.891,2
p0241-p0389-p0209-p0398-p0098,1.8626891015319134,0.062,2
p0269-p0196-p0035-p0096-p0266,1.3354597881164585,0.25,2
p0368-p0108-p0117-p0232-p0146,1.5852464810779205,0.146,2
p0105-p0096-p0027-p0068-p0200,1.4200830501640296,0.207,2
p0125-p0110-p0150-p0255-p0262,1.284790257562601,0.357,2
p0354-p0332-p0390-p0338-p0111,1.7191517647242656,0.08,2
p0229-p0018-p0319-p0279-p0352,1.0550264653456023,0.509,2
p0225-p0155-p0042-p0291-p0027,1.3875187558132245,0.224,2
p0068-p0093-p0188-p0278-p0136,2.187031532613264,0.027,2
p0001-p0231-p0199-p0017-p0009,0.6808247490453129,0.714,2
p0098-p0396-p0217-p0317-p0118,1.5401732623006184,0.115,2
